chr,lg,cm,rb_chr,Eston,IG72815,LR-26-10,LR-26-105,LR-26-107,LR-26-108,LR-26-110,LR-26-111,LR-26-112,LR-26-113,LR-26-116,LR-26-117,LR-26-118,LR-26-119,LR-26-12,LR-26-121,LR-26-122,LR-26-123,LR-26-125,LR-26-127,LR-26-128,LR-26-129,LR-26-13,LR-26-132,LR-26-134,LR-26-135,LR-26-136,LR-26-137,LR-26-138,LR-26-139,LR-26-140,LR-26-142,LR-26-145,LR-26-149,LR-26-151,LR-26-156,LR-26-157,LR-26-16,LR-26-161,LR-26-162,LR-26-163,LR-26-164,LR-26-165,LR-26-169,LR-26-17,LR-26-170,LR-26-171,LR-26-172,LR-26-173,LR-26-175,LR-26-176,LR-26-178,LR-26-18,LR-26-180,LR-26-181,LR-26-182,LR-26-183,LR-26-184,LR-26-186,LR-26-187,LR-26-188,LR-26-19,LR-26-193,LR-26-194,LR-26-196,LR-26-198,LR-26-20,LR-26-200,LR-26-202,LR-26-203,LR-26-204,LR-26-205,LR-26-206,LR-26-209,LR-26-210,LR-26-215,LR-26-216,LR-26-219,LR-26-22,LR-26-220,LR-26-223,LR-26-224,LR-26-227,LR-26-228,LR-26-23,LR-26-232,LR-26-233,LR-26-235,LR-26-238,LR-26-239,LR-26-240,LR-26-241,LR-26-243,LR-26-244,LR-26-245,LR-26-246,LR-26-247,LR-26-251,LR-26-252,LR-26-253,LR-26-254,LR-26-256,LR-26-257,LR-26-259,LR-26-261,LR-26-262,LR-26-266,LR-26-267,LR-26-269,LR-26-273,LR-26-274,LR-26-275,LR-26-276,LR-26-280,LR-26-281,LR-26-282,LR-26-283,LR-26-288,LR-26-29,LR-26-290,LR-26-292,LR-26-293,LR-26-294,LR-26-296,LR-26-297,LR-26-298,LR-26-299,LR-26-3,LR-26-30,LR-26-300,LR-26-301,LR-26-303,LR-26-304,LR-26-306,LR-26-307,LR-26-311,LR-26-312,LR-26-32,LR-26-36,LR-26-4,LR-26-41,LR-26-43,LR-26-45,LR-26-47,LR-26-49,LR-26-5,LR-26-54,LR-26-55,LR-26-56,LR-26-57,LR-26-62,LR-26-63,LR-26-64,LR-26-65,LR-26-66,LR-26-67,LR-26-7,LR-26-70,LR-26-75,LR-26-77,LR-26-78,LR-26-79,LR-26-84,LR-26-85,LR-26-86,LR-26-87,LR-26-90,LR-26-91,LR-26-95,LR-26-98,LR-26-99
LcChr5_80_239953699_239953699_1,LG1,131.0970923,LcChr5,a,b,a,a,a,a,b,-,a,b,a,-,a,b,a,a,a,-,-,a,b,b,a,-,a,b,-,b,-,a,a,b,-,-,-,b,a,a,a,b,-,b,-,-,b,-,-,-,b,a,b,b,-,a,a,a,a,a,a,a,a,a,b,b,a,a,a,a,a,a,b,-,a,-,b,a,-,-,-,-,a,-,a,b,b,b,a,b,a,b,a,a,a,-,-,a,-,a,a,-,-,a,a,b,b,b,b,a,-,a,-,a,a,a,a,-,a,a,-,a,-,a,a,-,a,b,-,-,-,a,-,-,-,b,a,a,b,a,b,a,a,a,a,a,-,a,a,-,-,-,-,a,a,a,-,a,a,b,b,a,-,b,a,-,b,-,a,b,b,a,b
LcChr4_58_138028890_138028902_2,LG1,131.0970923,LcChr4,a,b,a,a,a,a,b,-,a,b,a,-,a,b,a,a,a,-,-,a,b,b,a,-,a,b,-,b,-,a,a,b,-,-,-,b,a,a,a,b,-,b,-,-,b,-,-,-,b,a,b,b,-,a,a,a,a,a,a,a,a,a,b,b,a,a,a,a,a,a,b,-,a,-,b,a,-,-,-,-,a,-,a,b,b,b,a,b,a,b,a,a,a,-,-,a,-,a,a,-,-,a,a,b,b,b,b,a,-,a,-,a,a,a,a,-,a,a,-,a,-,a,a,-,a,b,-,-,-,a,-,-,-,b,a,a,b,a,b,a,a,a,a,a,-,a,a,-,-,-,-,a,a,a,-,a,a,b,b,a,-,b,a,-,b,-,a,b,b,a,b
LcContig50392_1_372997_372997_1,LG1,151.1310654,LcContig50392,a,b,a,a,a,a,b,-,a,b,a,-,a,b,a,a,a,-,-,a,b,b,-,-,a,a,-,b,-,a,a,b,-,-,-,a,a,a,a,-,-,b,-,-,b,-,-,-,b,a,b,b,-,a,a,a,a,a,a,a,a,a,b,b,a,a,b,a,-,a,b,-,a,-,-,a,-,-,-,-,a,-,a,-,b,b,a,b,a,b,b,a,a,-,-,a,-,a,a,-,-,a,a,b,b,b,b,a,-,a,-,a,a,a,a,-,a,a,-,a,-,a,a,-,a,b,-,-,-,a,-,-,-,b,a,a,b,a,b,a,-,a,a,a,-,a,a,-,-,-,-,a,b,a,-,a,a,b,b,a,-,b,a,-,-,-,a,b,b,a,b
LcChr5_75_234705490_234705552_2,LG1,151.1310654,LcChr5,a,b,a,a,a,a,b,-,a,b,a,-,a,b,a,a,a,-,-,a,b,b,-,-,a,a,-,b,-,a,a,b,-,-,-,a,a,a,a,-,-,b,-,-,b,-,-,-,b,a,b,b,-,a,a,a,a,a,a,a,a,a,b,b,a,a,b,a,-,a,b,-,a,-,-,a,-,-,-,-,a,-,a,b,b,b,a,b,a,b,b,a,a,-,-,a,-,a,a,-,-,a,a,b,b,b,b,a,-,a,-,a,a,a,a,-,a,a,-,a,-,a,a,-,a,b,-,-,-,a,-,-,-,b,a,a,b,a,b,a,-,a,a,a,-,a,a,-,-,-,-,a,b,a,-,a,a,b,b,a,-,b,a,-,b,-,a,b,b,a,b
LcChr5_55_181410675_181410675_1,LG1,168.2438985,LcChr5,a,b,a,a,a,a,b,-,a,b,a,-,a,b,a,a,a,-,-,a,b,b,-,-,a,a,-,b,-,a,a,b,-,-,-,a,a,a,a,-,-,b,-,-,b,-,-,-,a,a,b,b,-,a,a,a,a,a,a,a,a,a,b,-,a,a,b,a,-,a,b,-,-,-,-,a,-,-,-,-,a,-,a,-,b,b,a,b,a,b,b,a,a,-,-,a,-,a,a,-,-,-,a,b,b,b,-,a,-,a,-,a,a,a,a,-,a,a,-,a,-,a,a,-,a,b,-,-,-,a,-,-,-,b,a,a,b,a,a,a,-,a,a,a,-,a,a,-,-,-,-,a,b,a,-,a,a,b,b,a,-,b,a,-,-,-,a,b,b,a,a
LcChr5_63_216199546_216274839_3,LG1,168.2438985,LcChr5,a,b,a,a,a,a,b,-,a,b,a,-,a,b,a,a,a,-,-,a,b,b,-,-,a,a,-,b,-,a,a,b,-,-,-,a,a,a,a,-,-,b,-,-,b,-,-,-,a,a,b,b,-,a,a,a,a,a,a,a,a,a,b,b,a,a,b,a,-,a,b,-,a,-,-,a,-,-,-,-,a,-,a,-,b,b,a,b,a,b,b,a,a,-,-,a,-,a,a,-,-,a,a,b,b,b,b,a,-,a,-,a,a,a,a,-,a,a,-,a,-,a,a,-,a,b,-,-,-,a,-,-,-,b,a,a,b,a,a,a,-,a,a,a,-,a,a,-,-,-,-,a,b,a,-,a,a,b,b,a,-,b,a,-,-,a,a,b,b,a,a
LcChr5_65_216383363_216598921_4,LG1,168.2438985,LcChr5,a,b,a,a,a,a,b,-,a,b,a,-,a,b,a,a,a,-,-,a,b,b,-,-,a,a,-,b,-,a,a,b,-,-,-,a,a,a,a,-,-,b,-,-,b,-,-,-,a,a,b,b,-,a,a,a,a,a,a,a,a,a,b,-,a,a,b,a,-,a,b,-,a,-,-,a,-,-,-,-,a,-,a,-,b,b,a,b,a,b,b,a,a,-,-,a,-,a,a,-,-,a,a,b,b,b,b,a,-,a,-,a,a,a,a,-,a,a,-,a,-,a,a,-,a,b,-,-,-,a,-,-,-,b,a,a,b,a,a,a,-,a,a,a,-,a,a,-,-,-,-,a,b,a,-,a,a,b,b,a,-,b,a,-,-,-,a,b,b,a,a
LcChr5_67_221072197_224396220_13,LG1,168.2438985,LcChr5,a,b,a,a,a,a,b,-,a,b,a,-,a,b,a,a,a,b,-,a,b,b,-,-,a,a,-,b,-,a,a,b,-,-,-,a,a,a,a,-,-,b,-,-,b,-,-,-,a,a,b,b,-,a,a,a,a,a,a,a,a,a,b,b,a,a,b,a,-,a,b,-,a,-,-,a,-,-,-,-,a,-,a,-,b,b,a,b,a,b,b,a,a,-,-,a,-,a,a,-,-,a,a,b,b,b,b,a,-,a,-,a,a,a,a,-,a,a,-,a,-,a,a,-,a,b,-,-,a,a,-,-,-,b,a,a,b,a,a,a,-,a,a,a,-,a,a,-,-,-,-,a,b,a,a,a,a,b,b,a,-,b,a,-,-,-,a,b,b,a,a
LcChr5_74_230069400_233857404_25,LG1,168.2438985,LcChr5,a,b,a,a,a,a,b,-,a,b,a,-,a,b,a,a,a,-,-,a,b,b,-,-,a,a,-,b,-,a,a,b,-,-,-,a,a,a,a,-,-,b,-,-,b,-,-,-,a,a,b,b,-,a,a,a,a,a,a,a,a,a,b,b,a,a,b,a,-,a,b,-,a,-,-,a,-,-,-,-,a,-,a,-,b,b,a,b,a,b,b,a,a,-,-,a,-,a,a,-,-,a,a,b,b,b,b,a,-,a,-,a,a,a,a,-,a,a,-,a,b,a,a,-,a,b,-,-,-,a,-,-,-,b,a,a,b,a,a,a,-,a,a,a,b,a,a,-,-,-,-,a,b,a,-,a,a,b,b,a,-,b,a,-,-,-,a,b,b,a,a
LcChr1_3_3599720_4887677_3,LG1,168.2438985,LcChr1,a,b,a,a,a,a,b,-,a,b,a,-,a,b,a,a,a,-,-,a,b,b,-,-,a,a,-,b,-,a,a,b,-,-,-,a,a,a,a,-,-,b,-,-,b,-,-,-,a,a,b,b,-,a,a,a,a,a,a,a,a,a,b,b,a,a,b,a,-,a,b,-,a,-,-,a,-,-,-,-,a,-,a,-,b,b,a,b,a,b,b,a,a,-,-,a,-,a,a,-,-,a,a,b,b,b,b,a,-,a,-,a,a,a,a,-,a,a,-,a,-,a,a,-,a,b,-,-,-,a,-,-,-,b,a,a,b,a,a,a,-,a,a,a,-,a,a,-,-,-,-,a,b,a,-,a,a,b,b,a,-,b,a,-,-,-,a,b,b,a,a
